"COMMON.NAME","SCIENTIFIC.NAME","site1","site2","site3","site4","site5"
"Pied Falconet","Microhierax melanoleucos",NA,NA,NA,"Kaziranga",NA
"Eurasian Kestrel","Falco tinnunculus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Red-necked Falcon","Falco chicquera",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Oriental Hobby","Falco severus",NA,NA,NA,"Kaziranga",NA
"Laggar Falcon","Falco jugger",NA,NA,NA,NA,"Bharatpur"
"Peregrine Falcon","Falco peregrinus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Alexandrine Parakeet","Psittacula eupatria","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Rose-ringed Parakeet","Psittacula krameri","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Plum-headed Parakeet","Psittacula cyanocephala","Lodhi Gardens","Sundarbans","Taj Mahal",NA,"Bharatpur"
"Blossom-headed Parakeet","Psittacula roseata",NA,NA,NA,"Kaziranga",NA
"Red-breasted Parakeet","Psittacula alexandri",NA,"Sundarbans",NA,"Kaziranga",NA
"Long-tailed Broadbill","Psarisomus dalhousiae",NA,NA,NA,"Kaziranga",NA
"Blue-naped Pitta","Hydrornis nipalensis",NA,NA,NA,"Kaziranga",NA
"Mangrove Pitta","Pitta megarhyncha",NA,"Sundarbans",NA,NA,NA
"Small Minivet","Pericrocotus cinnamomeus",NA,"Sundarbans",NA,NA,"Bharatpur"
"Gray-chinned Minivet","Pericrocotus solaris",NA,NA,NA,"Kaziranga",NA
"Short-billed Minivet","Pericrocotus brevirostris",NA,NA,NA,"Kaziranga",NA
"Long-tailed Minivet","Pericrocotus ethologus",NA,NA,NA,"Kaziranga","Bharatpur"
"Scarlet Minivet","Pericrocotus speciosus",NA,"Sundarbans",NA,"Kaziranga",NA
"Rosy Minivet","Pericrocotus roseus",NA,NA,NA,"Kaziranga",NA
"Large Cuckooshrike","Coracina macei",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Black-winged Cuckooshrike","Lalage melaschistos",NA,"Sundarbans",NA,"Kaziranga",NA
"Black-headed Cuckooshrike","Lalage melanoptera",NA,"Sundarbans",NA,NA,NA
"Mangrove Whistler","Pachycephala cinerea",NA,"Sundarbans",NA,NA,NA
"Indian Golden Oriole","Oriolus kundoo",NA,"Sundarbans",NA,NA,"Bharatpur"
"Black-naped Oriole","Oriolus chinensis",NA,"Sundarbans",NA,"Kaziranga",NA
"Black-hooded Oriole","Oriolus xanthornus",NA,"Sundarbans",NA,"Kaziranga",NA
"Maroon Oriole","Oriolus traillii",NA,NA,NA,"Kaziranga",NA
"Ashy Woodswallow","Artamus fuscus",NA,"Sundarbans",NA,"Kaziranga",NA
"Large Woodshrike","Tephrodornis virgatus",NA,NA,NA,"Kaziranga",NA
"Common Woodshrike","Tephrodornis pondicerianus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Bar-winged Flycatcher-shrike","Hemipus picatus",NA,NA,NA,"Kaziranga",NA
"Common Iora","Aegithina tiphia",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"White-tailed Iora","Aegithina nigrolutea",NA,NA,NA,NA,"Bharatpur"
"White-throated Fantail","Rhipidura albicollis",NA,"Sundarbans",NA,NA,NA
"White-browed Fantail","Rhipidura aureola",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Black Drongo","Dicrurus macrocercus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Ashy Drongo","Dicrurus leucophaeus","Lodhi Gardens","Sundarbans",NA,"Kaziranga","Bharatpur"
"White-bellied Drongo","Dicrurus caerulescens",NA,NA,NA,NA,"Bharatpur"
"Bronzed Drongo","Dicrurus aeneus",NA,"Sundarbans",NA,"Kaziranga",NA
"Lesser Racket-tailed Drongo","Dicrurus remifer",NA,"Sundarbans",NA,"Kaziranga",NA
"Hair-crested Drongo","Dicrurus hottentottus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Greater Racket-tailed Drongo","Dicrurus paradiseus",NA,NA,NA,"Kaziranga",NA
"Black-naped Monarch","Hypothymis azurea",NA,"Sundarbans",NA,"Kaziranga",NA
"Blyth's Paradise-Flycatcher","Terpsiphone affinis",NA,NA,NA,"Kaziranga",NA
"Indian Paradise-Flycatcher","Terpsiphone paradisi",NA,"Sundarbans",NA,NA,"Bharatpur"
"Isabelline Shrike","Lanius isabellinus",NA,NA,NA,NA,"Bharatpur"
"Brown Shrike","Lanius cristatus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Bay-backed Shrike","Lanius vittatus",NA,NA,NA,NA,"Bharatpur"
"Long-tailed Shrike","Lanius schach",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Gray-backed Shrike","Lanius tephronotus",NA,"Sundarbans",NA,"Kaziranga",NA
"Great Gray Shrike","Lanius excubitor",NA,NA,NA,NA,"Bharatpur"
"Common Green-Magpie","Cissa chinensis",NA,NA,NA,"Kaziranga",NA
"Rufous Treepie","Dendrocitta vagabunda","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Gray Treepie","Dendrocitta formosae",NA,NA,NA,"Kaziranga",NA
"House Crow","Corvus splendens","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Large-billed Crow","Corvus macrorhynchos","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis","Lodhi Gardens",NA,"Taj Mahal","Kaziranga","Bharatpur"
"Fire-capped Tit","Cephalopyrus flammiceps",NA,NA,NA,NA,"Bharatpur"
"Cinereous Tit","Parus cinereus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Rufous-tailed Lark","Ammomanes phoenicura",NA,NA,NA,NA,"Bharatpur"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus",NA,NA,NA,NA,"Bharatpur"
"Bengal Bushlark","Mirafra assamica",NA,"Sundarbans",NA,"Kaziranga",NA
"Indian Bushlark","Mirafra erythroptera",NA,NA,NA,NA,"Bharatpur"
"Greater Short-toed Lark","Calandrella brachydactyla",NA,NA,NA,NA,"Bharatpur"
"Sand Lark","Alaudala raytal",NA,NA,NA,"Kaziranga",NA
"Oriental Skylark","Alauda gulgula",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Crested Lark","Galerida cristata",NA,NA,NA,NA,"Bharatpur"
"Common Tailorbird","Orthotomus sutorius","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Dark-necked Tailorbird","Orthotomus atrogularis",NA,NA,NA,"Kaziranga",NA
"Rufous-fronted Prinia","Prinia buchanani","Lodhi Gardens",NA,NA,NA,"Bharatpur"
"Gray-breasted Prinia","Prinia hodgsonii","Lodhi Gardens",NA,NA,"Kaziranga","Bharatpur"
"Delicate Prinia","Prinia lepida",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Jungle Prinia","Prinia sylvatica",NA,NA,NA,NA,"Bharatpur"
"Yellow-bellied Prinia","Prinia flaviventris",NA,"Sundarbans",NA,"Kaziranga",NA
"Ashy Prinia","Prinia socialis","Lodhi Gardens",NA,"Taj Mahal","Kaziranga","Bharatpur"
"Plain Prinia","Prinia inornata",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Zitting Cisticola","Cisticola juncidis",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Golden-headed Cisticola","Cisticola exilis",NA,NA,NA,"Kaziranga",NA
"Thick-billed Warbler","Arundinax aedon",NA,"Sundarbans",NA,"Kaziranga",NA
"Booted Warbler","Iduna caligata",NA,NA,"Taj Mahal",NA,NA
"Sykes's Warbler","Iduna rama",NA,NA,NA,NA,"Bharatpur"
"Moustached Warbler","Acrocephalus melanopogon",NA,NA,NA,NA,"Bharatpur"
"Paddyfield Warbler","Acrocephalus agricola",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Blyth's Reed Warbler","Acrocephalus dumetorum",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Clamorous Reed Warbler","Acrocephalus stentoreus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Pallas's Grasshopper Warbler","Helopsaltes certhiola",NA,"Sundarbans",NA,NA,NA
"Spotted Bush Warbler","Locustella thoracica",NA,NA,NA,"Kaziranga",NA
"Striated Grassbird","Cincloramphus palustris",NA,NA,NA,"Kaziranga",NA
"Pygmy Cupwing","Pnoepyga pusilla",NA,NA,NA,"Kaziranga",NA
"Gray-throated Martin","Riparia chinensis",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Bank Swallow","Riparia riparia",NA,NA,NA,"Kaziranga","Bharatpur"
"Pale Sand Martin","Riparia diluta",NA,NA,NA,"Kaziranga","Bharatpur"
"Dusky Crag-Martin","Ptyonoprogne concolor",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Barn Swallow","Hirundo rustica","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Wire-tailed Swallow","Hirundo smithii",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Red-rumped Swallow","Cecropis daurica",NA,"Sundarbans","Taj Mahal",NA,"Bharatpur"
"Striated Swallow","Cecropis striolata",NA,NA,NA,"Kaziranga",NA
"Streak-throated Swallow","Petrochelidon fluvicola",NA,"Sundarbans",NA,NA,"Bharatpur"
"Black-crested Bulbul","Rubigula flaviventris",NA,NA,NA,"Kaziranga",NA
"Red-vented Bulbul","Pycnonotus cafer","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Red-whiskered Bulbul","Pycnonotus jocosus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"White-eared Bulbul","Pycnonotus leucotis",NA,NA,NA,NA,"Bharatpur"
"White-throated Bulbul","Alophoixus flaveolus",NA,NA,NA,"Kaziranga",NA
"Black Bulbul","Hypsipetes leucocephalus",NA,NA,NA,"Kaziranga",NA
"Ashy Bulbul","Hemixos flavala",NA,NA,NA,"Kaziranga",NA
"Yellow-browed Warbler","Phylloscopus inornatus",NA,"Sundarbans",NA,"Kaziranga",NA
"Hume's Warbler","Phylloscopus humei","Lodhi Gardens",NA,"Taj Mahal","Kaziranga","Bharatpur"
"Brooks's Leaf Warbler","Phylloscopus subviridis",NA,NA,NA,NA,"Bharatpur"
"Sulphur-bellied Warbler","Phylloscopus griseolus",NA,NA,NA,NA,"Bharatpur"
"Tickell's Leaf Warbler","Phylloscopus affinis",NA,NA,NA,"Kaziranga","Bharatpur"
"Dusky Warbler","Phylloscopus fuscatus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Smoky Warbler","Phylloscopus fuligiventer",NA,NA,NA,"Kaziranga","Bharatpur"
"Common Chiffchaff","Phylloscopus collybita","Lodhi Gardens","Sundarbans","Taj Mahal",NA,"Bharatpur"
"White-spectacled Warbler","Phylloscopus intermedius",NA,NA,NA,"Kaziranga",NA
"Gray-cheeked Warbler","Phylloscopus poliogenys",NA,NA,NA,"Kaziranga",NA
"Whistler's Warbler","Phylloscopus whistleri",NA,NA,NA,"Kaziranga",NA
"Green Warbler","Phylloscopus nitidus",NA,"Sundarbans",NA,NA,NA
"Greenish Warbler","Phylloscopus trochiloides","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Large-billed Leaf Warbler","Phylloscopus magnirostris",NA,"Sundarbans",NA,NA,NA
"Yellow-vented Warbler","Phylloscopus cantator",NA,NA,NA,"Kaziranga",NA
"Blyth's Leaf Warbler","Phylloscopus reguloides",NA,NA,NA,"Kaziranga",NA
"Pale-footed Bush Warbler","Urosphena pallidipes",NA,NA,NA,"Kaziranga",NA
"Gray-bellied Tesia","Tesia cyaniventer",NA,NA,NA,"Kaziranga",NA
"Slaty-bellied Tesia","Tesia olivea",NA,NA,NA,"Kaziranga",NA
"Yellow-bellied Warbler","Abroscopus superciliaris",NA,NA,NA,"Kaziranga",NA
"Mountain Tailorbird","Phyllergates cucullatus",NA,NA,NA,"Kaziranga",NA
"Lesser Whitethroat","Curruca curruca","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Eastern Orphean Warbler","Curruca crassirostris",NA,NA,NA,NA,"Bharatpur"
"Yellow-eyed Babbler","Chrysomma sinense",NA,NA,NA,"Kaziranga","Bharatpur"
"Jerdon's Babbler","Chrysomma altirostre",NA,NA,NA,"Kaziranga",NA
"Indian White-eye","Zosterops palpebrosus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Chestnut-capped Babbler","Timalia pileata",NA,"Sundarbans",NA,"Kaziranga",NA
"Pin-striped Tit-Babbler","Mixornis gularis",NA,"Sundarbans",NA,"Kaziranga",NA
"Buff-chested Babbler","Cyanoderma ambiguum",NA,NA,NA,"Kaziranga",NA
"White-browed Scimitar-Babbler","Pomatorhinus schisticeps",NA,"Sundarbans",NA,"Kaziranga",NA
"Gray-throated Babbler","Stachyris nigriceps",NA,NA,NA,"Kaziranga",NA
"Indian Grassbird","Graminicola bengalensis",NA,NA,NA,"Kaziranga",NA
"White-hooded Babbler","Gampsorhynchus rufulus",NA,NA,NA,"Kaziranga",NA
"Puff-throated Babbler","Pellorneum ruficeps",NA,NA,NA,"Kaziranga",NA
"Marsh Babbler","Pellorneum palustre",NA,NA,NA,"Kaziranga",NA
"Buff-breasted Babbler","Pellorneum tickelli",NA,NA,NA,"Kaziranga",NA
"Abbott's Babbler","Malacocincla abbotti",NA,"Sundarbans",NA,"Kaziranga",NA
"Large Gray Babbler","Argya malcolmi","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Slender-billed Babbler","Argya longirostris",NA,NA,NA,"Kaziranga",NA
"Jungle Babbler","Argya striata","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Common Babbler","Argya caudata","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Striated Babbler","Argya earlei",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Lesser Necklaced Laughingthrush","Garrulax monileger",NA,NA,NA,"Kaziranga",NA
"White-crested Laughingthrush","Garrulax leucolophus",NA,NA,NA,"Kaziranga",NA
"Rufous-necked Laughingthrush","Pterorhinus ruficollis",NA,NA,NA,"Kaziranga",NA
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis",NA,NA,NA,"Kaziranga",NA
"Indian Nuthatch","Sitta castanea",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris",NA,NA,NA,"Kaziranga",NA
"Velvet-fronted Nuthatch","Sitta frontalis",NA,NA,NA,"Kaziranga",NA
"Indian Spotted Creeper","Salpornis spilonota",NA,NA,NA,NA,"Bharatpur"
"Asian Glossy Starling","Aplonis panayensis",NA,NA,NA,"Kaziranga",NA
"Common Hill Myna","Gracula religiosa",NA,NA,NA,"Kaziranga",NA
"European Starling","Sturnus vulgaris","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Rosy Starling","Pastor roseus",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Indian Pied Starling","Gracupica contra","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Brahminy Starling","Sturnia pagodarum","Lodhi Gardens","Sundarbans","Taj Mahal",NA,"Bharatpur"
"Chestnut-tailed Starling","Sturnia malabarica",NA,"Sundarbans",NA,"Kaziranga",NA
"Common Myna","Acridotheres tristis","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Bank Myna","Acridotheres ginginianus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Jungle Myna","Acridotheres fuscus",NA,"Sundarbans",NA,"Kaziranga",NA
"Great Myna","Acridotheres grandis",NA,NA,NA,"Kaziranga",NA
"Spot-winged Starling","Saroglossa spilopterus",NA,NA,NA,"Kaziranga",NA
"Scaly Thrush","Zoothera dauma",NA,NA,NA,"Kaziranga",NA
"Orange-headed Thrush","Geokichla citrina",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Gray-winged Blackbird","Turdus boulboul",NA,NA,NA,"Kaziranga",NA
"Tickell's Thrush","Turdus unicolor",NA,NA,NA,NA,"Bharatpur"
"Black-breasted Thrush","Turdus dissimilis",NA,NA,NA,"Kaziranga",NA
"Black-throated Thrush","Turdus atrogularis",NA,NA,NA,"Kaziranga",NA
"Asian Brown Flycatcher","Muscicapa dauurica",NA,NA,NA,"Kaziranga",NA
"Spotted Flycatcher","Muscicapa striata",NA,"Sundarbans",NA,NA,NA
"Indian Robin","Copsychus fulicatus","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Oriental Magpie-Robin","Copsychus saularis","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"White-rumped Shama","Copsychus malabaricus",NA,NA,NA,"Kaziranga",NA
"Pale-chinned Blue Flycatcher","Cyornis poliogenys",NA,NA,NA,"Kaziranga",NA
"Pale Blue Flycatcher","Cyornis unicolor",NA,NA,NA,"Kaziranga",NA
"Tickell's Blue Flycatcher","Cyornis tickelliae",NA,NA,NA,NA,"Bharatpur"
"Large Niltava","Niltava grandis",NA,NA,NA,"Kaziranga",NA
"Small Niltava","Niltava macgrigoriae",NA,NA,NA,"Kaziranga",NA
"Rufous-bellied Niltava","Niltava sundara",NA,NA,NA,"Kaziranga",NA
"Verditer Flycatcher","Eumyias thalassinus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Lesser Shortwing","Brachypteryx leucophris",NA,NA,NA,"Kaziranga",NA
"Bluethroat","Luscinia svecica",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Blue Whistling-Thrush","Myophonus caeruleus",NA,NA,NA,"Kaziranga",NA
"Black-backed Forktail","Enicurus immaculatus",NA,NA,NA,"Kaziranga",NA
"Siberian Rubythroat","Calliope calliope",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Himalayan Rubythroat","Calliope pectoralis",NA,NA,NA,NA,"Bharatpur"
"Chinese Rubythroat","Calliope tschebaiewi",NA,NA,NA,"Kaziranga",NA
"White-tailed Robin","Myiomela leucura",NA,NA,NA,"Kaziranga",NA
"Himalayan Bluetail","Tarsiger rufilatus",NA,NA,NA,"Kaziranga",NA
"Slaty-backed Flycatcher","Ficedula erithacus",NA,NA,NA,"Kaziranga",NA
"Slaty-blue Flycatcher","Ficedula tricolor",NA,NA,NA,"Kaziranga","Bharatpur"
"Snowy-browed Flycatcher","Ficedula hyperythra",NA,NA,NA,"Kaziranga",NA
"Pygmy Flycatcher","Ficedula hodgsoni",NA,NA,NA,"Kaziranga",NA
"Rufous-gorgeted Flycatcher","Ficedula strophiata",NA,NA,NA,"Kaziranga",NA
"Little Pied Flycatcher","Ficedula westermanni",NA,NA,NA,"Kaziranga",NA
"Ultramarine Flycatcher","Ficedula superciliaris",NA,NA,NA,NA,"Bharatpur"
"Taiga Flycatcher","Ficedula albicilla","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Red-breasted Flycatcher","Ficedula parva","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Plumbeous Redstart","Phoenicurus fuliginosus",NA,NA,NA,"Kaziranga",NA
"Black Redstart","Phoenicurus ochruros","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Daurian Redstart","Phoenicurus auroreus",NA,NA,NA,"Kaziranga",NA
"Blue Rock-Thrush","Monticola solitarius",NA,NA,NA,"Kaziranga","Bharatpur"
"White-browed Bushchat","Saxicola macrorhynchus",NA,NA,NA,NA,"Bharatpur"
"Siberian Stonechat","Saxicola maurus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"White-tailed Stonechat","Saxicola leucurus",NA,NA,NA,"Kaziranga",NA
"Pied Bushchat","Saxicola caprata",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Gray Bushchat","Saxicola ferreus",NA,NA,NA,"Kaziranga","Bharatpur"
"Isabelline Wheatear","Oenanthe isabellina",NA,NA,NA,NA,"Bharatpur"
"Desert Wheatear","Oenanthe deserti",NA,NA,NA,NA,"Bharatpur"
"Brown Rock Chat","Oenanthe fusca","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Variable Wheatear","Oenanthe picata",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Thick-billed Flowerpecker","Dicaeum agile",NA,NA,NA,NA,"Bharatpur"
"Yellow-vented Flowerpecker","Dicaeum chrysorrheum",NA,NA,NA,"Kaziranga",NA
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos",NA,"Sundarbans",NA,NA,NA
"Plain Flowerpecker","Dicaeum minullum",NA,NA,NA,"Kaziranga",NA
"Scarlet-backed Flowerpecker","Dicaeum cruentatum",NA,"Sundarbans",NA,"Kaziranga",NA
"Ruby-cheeked Sunbird","Chalcoparia singalensis",NA,NA,NA,"Kaziranga",NA
"Purple-rumped Sunbird","Leptocoma zeylonica",NA,"Sundarbans",NA,NA,NA
"Purple Sunbird","Cinnyris asiaticus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Loten's Sunbird","Cinnyris lotenius",NA,"Sundarbans",NA,NA,NA
"Crimson Sunbird","Aethopyga siparaja",NA,NA,NA,"Kaziranga",NA
"Little Spiderhunter","Arachnothera longirostra",NA,NA,NA,"Kaziranga",NA
"Streaked Spiderhunter","Arachnothera magna",NA,NA,NA,"Kaziranga",NA
"Asian Fairy-bluebird","Irena puella",NA,NA,NA,"Kaziranga",NA
"Golden-fronted Leafbird","Chloropsis aurifrons",NA,NA,NA,"Kaziranga",NA
"Orange-bellied Leafbird","Chloropsis hardwickii",NA,NA,NA,"Kaziranga",NA
"Streaked Weaver","Ploceus manyar",NA,NA,NA,"Kaziranga","Bharatpur"
"Baya Weaver","Ploceus philippinus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Black-breasted Weaver","Ploceus benghalensis",NA,NA,NA,"Kaziranga","Bharatpur"
"Indian Silverbill","Euodice malabarica",NA,"Sundarbans","Taj Mahal",NA,"Bharatpur"
"Scaly-breasted Munia","Lonchura punctulata",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"White-rumped Munia","Lonchura striata",NA,"Sundarbans",NA,"Kaziranga",NA
"Chestnut Munia","Lonchura atricapilla",NA,"Sundarbans",NA,"Kaziranga",NA
"Red Avadavat","Amandava amandava",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"House Sparrow","Passer domesticus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Spanish Sparrow","Passer hispaniolensis","Lodhi Gardens",NA,NA,NA,NA
"Eurasian Tree Sparrow","Passer montanus",NA,NA,NA,"Kaziranga",NA
"Yellow-throated Sparrow","Gymnoris xanthocollis",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Forest Wagtail","Dendronanthus indicus",NA,"Sundarbans",NA,"Kaziranga",NA
"Gray Wagtail","Motacilla cinerea","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Western Yellow Wagtail","Motacilla flava","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Eastern Yellow Wagtail","Motacilla tschutschensis",NA,"Sundarbans",NA,"Kaziranga",NA
"Citrine Wagtail","Motacilla citreola",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"White-browed Wagtail","Motacilla maderaspatensis",NA,"Sundarbans","Taj Mahal",NA,"Bharatpur"
"White Wagtail","Motacilla alba",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Richard's Pipit","Anthus richardi",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Paddyfield Pipit","Anthus rufulus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Long-billed Pipit","Anthus similis",NA,NA,NA,NA,"Bharatpur"
"Blyth's Pipit","Anthus godlewskii",NA,NA,NA,NA,"Bharatpur"
"Tawny Pipit","Anthus campestris",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Rosy Pipit","Anthus roseatus",NA,NA,NA,"Kaziranga","Bharatpur"
"Tree Pipit","Anthus trivialis",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Olive-backed Pipit","Anthus hodgsoni",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Common Rosefinch","Carpodacus erythrinus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Crested Bunting","Emberiza lathami",NA,NA,NA,NA,"Bharatpur"
"Black-headed Bunting","Emberiza melanocephala",NA,NA,NA,NA,"Bharatpur"
"Red-headed Bunting","Emberiza bruniceps",NA,NA,NA,NA,"Bharatpur"
"Chestnut-eared Bunting","Emberiza fucata",NA,NA,NA,"Kaziranga",NA
"White-capped Bunting","Emberiza stewarti",NA,NA,NA,NA,"Bharatpur"
"Gray-necked Bunting","Emberiza buchanani",NA,NA,NA,NA,"Bharatpur"
"Black-faced Bunting","Emberiza spodocephala",NA,NA,NA,"Kaziranga",NA
