"COMMON.NAME","SCIENTIFIC.NAME","site1","site2","site3","site4","site5"
"Chestnut-winged Cuckoo","Clamator coromandus",NA,NA,NA,"Kaziranga",NA
"Asian Koel","Eudynamys scolopaceus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Banded Bay Cuckoo","Cacomantis sonneratii",NA,NA,NA,"Kaziranga",NA
"Plaintive Cuckoo","Cacomantis merulinus",NA,"Sundarbans",NA,"Kaziranga",NA
"Gray-bellied Cuckoo","Cacomantis passerinus",NA,NA,NA,NA,"Bharatpur"
"Common Hawk-Cuckoo","Hierococcyx varius",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Indian Cuckoo","Cuculus micropterus",NA,NA,NA,"Kaziranga",NA
"Jungle Nightjar","Caprimulgus indicus",NA,NA,NA,NA,"Bharatpur"
"Sykes's Nightjar","Caprimulgus mahrattensis",NA,NA,NA,NA,"Bharatpur"
"Large-tailed Nightjar","Caprimulgus macrurus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Indian Nightjar","Caprimulgus asiaticus",NA,NA,NA,NA,"Bharatpur"
"Savanna Nightjar","Caprimulgus affinis",NA,NA,NA,NA,"Bharatpur"
"Little Swift","Apus affinis","Lodhi Gardens","Sundarbans","Taj Mahal",NA,"Bharatpur"
"House Swift","Apus nipalensis",NA,"Sundarbans",NA,"Kaziranga",NA
"Asian Palm Swift","Cypsiurus balasiensis",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Water Rail","Rallus aquaticus",NA,NA,NA,NA,"Bharatpur"
"Slaty-breasted Rail","Lewinia striata",NA,"Sundarbans",NA,NA,NA
"Spotted Crake","Porzana porzana",NA,NA,NA,NA,"Bharatpur"
"Eurasian Moorhen","Gallinula chloropus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Eurasian Coot","Fulica atra","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Gray-headed Swamphen","Porphyrio poliocephalus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Watercock","Gallicrex cinerea",NA,NA,NA,NA,"Bharatpur"
"White-breasted Waterhen","Amaurornis phoenicurus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Slaty-legged Crake","Rallina eurizonoides",NA,"Sundarbans",NA,NA,NA
"Ruddy-breasted Crake","Zapornia fusca",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Brown Crake","Zapornia akool",NA,NA,NA,"Kaziranga","Bharatpur"
"Little Crake","Zapornia parva",NA,NA,NA,NA,"Bharatpur"
"Baillon's Crake","Zapornia pusilla",NA,"Sundarbans",NA,NA,"Bharatpur"
"Black-tailed Crake","Zapornia bicolor",NA,NA,NA,"Kaziranga",NA
"Demoiselle Crane","Anthropoides virgo",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Sarus Crane","Antigone antigone",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Common Crane","Grus grus",NA,NA,NA,"Kaziranga","Bharatpur"
"Indian Thick-knee","Burhinus indicus",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Great Thick-knee","Esacus recurvirostris",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Black-winged Stilt","Himantopus himantopus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Pied Avocet","Recurvirostra avosetta",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Black-bellied Plover","Pluvialis squatarola",NA,"Sundarbans",NA,NA,NA
"Pacific Golden-Plover","Pluvialis fulva",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Northern Lapwing","Vanellus vanellus",NA,NA,NA,"Kaziranga","Bharatpur"
"River Lapwing","Vanellus duvaucelii",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Yellow-wattled Lapwing","Vanellus malabaricus",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Gray-headed Lapwing","Vanellus cinereus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Red-wattled Lapwing","Vanellus indicus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"White-tailed Lapwing","Vanellus leucurus",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Greater Sand-Plover","Charadrius leschenaultii",NA,"Sundarbans",NA,NA,NA
"Kentish Plover","Charadrius alexandrinus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Common Ringed Plover","Charadrius hiaticula",NA,NA,NA,NA,"Bharatpur"
"Little Ringed Plover","Charadrius dubius",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Greater Painted-Snipe","Rostratula benghalensis",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Bronze-winged Jacana","Metopidius indicus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Whimbrel","Numenius phaeopus",NA,"Sundarbans",NA,NA,NA
"Eurasian Curlew","Numenius arquata",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Bar-tailed Godwit","Limosa lapponica",NA,"Sundarbans",NA,NA,NA
"Black-tailed Godwit","Limosa limosa",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Ruddy Turnstone","Arenaria interpres",NA,"Sundarbans",NA,NA,NA
"Great Knot","Calidris tenuirostris",NA,"Sundarbans",NA,NA,NA
"Ruff","Calidris pugnax",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Curlew Sandpiper","Calidris ferruginea",NA,"Sundarbans","Taj Mahal",NA,"Bharatpur"
"Temminck's Stint","Calidris temminckii",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Sanderling","Calidris alba",NA,"Sundarbans",NA,NA,NA
"Dunlin","Calidris alpina",NA,"Sundarbans",NA,NA,"Bharatpur"
"Little Stint","Calidris minuta",NA,"Sundarbans","Taj Mahal",NA,"Bharatpur"
"Jack Snipe","Lymnocryptes minimus",NA,NA,NA,NA,"Bharatpur"
"Common Snipe","Gallinago gallinago",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Pin-tailed Snipe","Gallinago stenura",NA,NA,NA,"Kaziranga",NA
"Terek Sandpiper","Xenus cinereus",NA,"Sundarbans",NA,NA,NA
"Common Sandpiper","Actitis hypoleucos",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Green Sandpiper","Tringa ochropus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Spotted Redshank","Tringa erythropus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Common Greenshank","Tringa nebularia",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Marsh Sandpiper","Tringa stagnatilis",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Wood Sandpiper","Tringa glareola",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Common Redshank","Tringa totanus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Barred Buttonquail","Turnix suscitator",NA,NA,NA,"Kaziranga","Bharatpur"
"Indian Courser","Cursorius coromandelicus",NA,NA,NA,NA,"Bharatpur"
"Oriental Pratincole","Glareola maldivarum",NA,"Sundarbans",NA,"Kaziranga",NA
"Small Pratincole","Glareola lactea",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Black-headed Gull","Chroicocephalus ridibundus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Brown-headed Gull","Chroicocephalus brunnicephalus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Pallas's Gull","Ichthyaetus ichthyaetus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
