eBird.Code,eBird.English.Name.2023,eBird.Scientific.Name.2023,Order,Family
putfru1,Purple-throated Fruitcrow,Querula purpurata,Passeriformes,Cotingidae (Cotingas)
rerfru1,Red-ruffed Fruitcrow,Pyroderus scutatus,Passeriformes,Cotingidae (Cotingas)
banumb1,Bare-necked Umbrellabird,Cephalopterus glabricollis,Passeriformes,Cotingidae (Cotingas)
amaumb1,Amazonian Umbrellabird,Cephalopterus ornatus,Passeriformes,Cotingidae (Cotingas)
lowumb1,Long-wattled Umbrellabird,Cephalopterus penduliger,Passeriformes,Cotingidae (Cotingas)
capuch1,Capuchinbird,Perissocephalus tricolor,Passeriformes,Cotingidae (Cotingas)
lovcot1,Lovely Cotinga,Cotinga amabilis,Passeriformes,Cotingidae (Cotingas)
turcot1,Turquoise Cotinga,Cotinga ridgwayi,Passeriformes,Cotingidae (Cotingas)
blucot1,Blue Cotinga,Cotinga nattererii,Passeriformes,Cotingidae (Cotingas)
pltcot1,Plum-throated Cotinga,Cotinga maynana,Passeriformes,Cotingidae (Cotingas)
pubcot1,Purple-breasted Cotinga,Cotinga cotinga,Passeriformes,Cotingidae (Cotingas)
bancot1,Banded Cotinga,Cotinga maculata,Passeriformes,Cotingidae (Cotingas)
spacot1,Spangled Cotinga,Cotinga cayana,Passeriformes,Cotingidae (Cotingas)
rufpih1,Rufous Piha,Lipaugus unirufus,Passeriformes,Cotingidae (Cotingas)
rocpih1,Rose-collared Piha,Lipaugus streptophorus,Passeriformes,Cotingidae (Cotingas)
scrpih1,Screaming Piha,Lipaugus vociferans,Passeriformes,Cotingidae (Cotingas)
civpih1,Cinnamon-vented Piha,Lipaugus lanioides,Passeriformes,Cotingidae (Cotingas)
bagcot1,Black-and-gold Cotinga,Lipaugus ater,Passeriformes,Cotingidae (Cotingas)
gywcot1,Gray-winged Cotinga,Lipaugus conditus,Passeriformes,Cotingidae (Cotingas)
chcpih1,Chestnut-capped Piha,Lipaugus weberi,Passeriformes,Cotingidae (Cotingas)
duspih1,Dusky Piha,Lipaugus fuscocinereus,Passeriformes,Cotingidae (Cotingas)
scwpih1,Scimitar-winged Piha,Lipaugus uropygialis,Passeriformes,Cotingidae (Cotingas)
thwbel,Three-wattled Bellbird,Procnias tricarunculatus,Passeriformes,Cotingidae (Cotingas)
whibel2,White Bellbird,Procnias albus,Passeriformes,Cotingidae (Cotingas)
beabel1,Bearded Bellbird,Procnias averano,Passeriformes,Cotingidae (Cotingas)
batbel1,Bare-throated Bellbird,Procnias nudicollis,Passeriformes,Cotingidae (Cotingas)
putcot1,Purple-throated Cotinga,Porphyrolaema porphyrolaema,Passeriformes,Cotingidae (Cotingas)
bltcot1,Black-tipped Cotinga,Carpodectes hopkei,Passeriformes,Cotingidae (Cotingas)
yebcot1,Yellow-billed Cotinga,Carpodectes antoniae,Passeriformes,Cotingidae (Cotingas)
snocot1,Snowy Cotinga,Carpodectes nitidus,Passeriformes,Cotingidae (Cotingas)
pomcot1,Pompadour Cotinga,Xipholena punicea,Passeriformes,Cotingidae (Cotingas)
whtcot1,White-tailed Cotinga,Xipholena lamellipennis,Passeriformes,Cotingidae (Cotingas)
whwcot1,White-winged Cotinga,Xipholena atropurpurea,Passeriformes,Cotingidae (Cotingas)
banfru1,Bare-necked Fruitcrow,Gymnoderus foetidus,Passeriformes,Cotingidae (Cotingas)
blfcot1,Black-faced Cotinga,Conioptilon mcilhennyi,Passeriformes,Cotingidae (Cotingas)
blttit1,Black-tailed Tityra,Tityra cayana,Passeriformes,Tityridae (Tityras and Allies)
blctit1,Black-crowned Tityra,Tityra inquisitor,Passeriformes,Tityridae (Tityras and Allies)
mastit1,Masked Tityra,Tityra semifasciata,Passeriformes,Tityridae (Tityras and Allies)
varsch1,Varzea Schiffornis,Schiffornis major,Passeriformes,Tityridae (Tityras and Allies)
thlsch7,Olivaceous Schiffornis,Schiffornis olivacea,Passeriformes,Tityridae (Tityras and Allies)
thlsch2,Northern Schiffornis,Schiffornis veraepacis,Passeriformes,Tityridae (Tityras and Allies)
thlsch8,Foothill Schiffornis,Schiffornis aenea,Passeriformes,Tityridae (Tityras and Allies)
thlsch4,Russet-winged Schiffornis,Schiffornis stenorhyncha,Passeriformes,Tityridae (Tityras and Allies)
thlsch3,Brown-winged Schiffornis,Schiffornis turdina,Passeriformes,Tityridae (Tityras and Allies)
gresch2,Greenish Schiffornis,Schiffornis virescens,Passeriformes,Tityridae (Tityras and Allies)
cinmou1,Cinereous Mourner,Laniocera hypopyrra,Passeriformes,Tityridae (Tityras and Allies)
spemou1,Speckled Mourner,Laniocera rufescens,Passeriformes,Tityridae (Tityras and Allies)
whbpur1,White-browed Purpletuft,Iodopleura isabellae,Passeriformes,Tityridae (Tityras and Allies)
duspur1,Dusky Purpletuft,Iodopleura fusca,Passeriformes,Tityridae (Tityras and Allies)
butpur1,Buff-throated Purpletuft,Iodopleura pipra,Passeriformes,Tityridae (Tityras and Allies)
shlcot2,Andean Laniisoma,Laniisoma buckleyi,Passeriformes,Tityridae (Tityras and Allies)
shlcot3,Brazilian Laniisoma,Laniisoma elegans,Passeriformes,Tityridae (Tityras and Allies)
whnxen1,White-naped Xenopsaris,Xenopsaris albinucha,Passeriformes,Tityridae (Tityras and Allies)
grbbec1,Green-backed Becard,Pachyramphus viridis,Passeriformes,Tityridae (Tityras and Allies)
barbec1,Barred Becard,Pachyramphus versicolor,Passeriformes,Tityridae (Tityras and Allies)
slabec1,Slaty Becard,Pachyramphus spodiurus,Passeriformes,Tityridae (Tityras and Allies)
cinbec2,Cinereous Becard,Pachyramphus rufus,Passeriformes,Tityridae (Tityras and Allies)
cinbec1,Cinnamon Becard,Pachyramphus cinnamomeus,Passeriformes,Tityridae (Tityras and Allies)
chcbec1,Chestnut-crowned Becard,Pachyramphus castaneus,Passeriformes,Tityridae (Tityras and Allies)
whwbec1,White-winged Becard,Pachyramphus polychopterus,Passeriformes,Tityridae (Tityras and Allies)
bawbec7,Black-and-white Becard,Pachyramphus albogriseus,Passeriformes,Tityridae (Tityras and Allies)
bawbec6,Cryptic Becard,Pachyramphus salvini,Passeriformes,Tityridae (Tityras and Allies)
grcbec1,Gray-collared Becard,Pachyramphus major,Passeriformes,Tityridae (Tityras and Allies)
blcbec1,Black-capped Becard,Pachyramphus marginatus,Passeriformes,Tityridae (Tityras and Allies)
glbbec1,Glossy-backed Becard,Pachyramphus surinamus,Passeriformes,Tityridae (Tityras and Allies)
rotbec,Rose-throated Becard,Pachyramphus aglaiae,Passeriformes,Tityridae (Tityras and Allies)
jambec1,Jamaican Becard,Pachyramphus niger,Passeriformes,Tityridae (Tityras and Allies)
oncbec1,One-colored Becard,Pachyramphus homochrous,Passeriformes,Tityridae (Tityras and Allies)
pitbec1,Pink-throated Becard,Pachyramphus minor,Passeriformes,Tityridae (Tityras and Allies)
crebec1,Crested Becard,Pachyramphus validus,Passeriformes,Tityridae (Tityras and Allies)
sharpb1,Sharpbill,Oxyruncus cristatus,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
royfly1,Tropical Royal Flycatcher,Onychorhynchus coronatus,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
royfly5,Atlantic Royal Flycatcher,Onychorhynchus swainsoni,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
rutfly2,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
tabfly1,Tawny-breasted Flycatcher,Myiobius villosus,Passeriformes,"Oxyruncidae (Sharpbill, Royal Flycatcher, and Allies)"
