eBird.Code,eBird.English.Name.2023,eBird.Scientific.Name.2023,Order,Family
ostric2,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
ostric3,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches)
grerhe1,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas)
lesrhe2,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas)
tabtin1,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous)
higtin1,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous)
hootin1,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous)
grytin1,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous)
soltin1,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous)
blatin1,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous)
gretin1,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous)
whttin1,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous)
cintin1,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous)
bertin1,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous)
littin1,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous)
teptin1,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous)
brotin1,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous)
undtin1,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous)
pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous)
bratin1,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous)
gyltin1,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous)
reltin1,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous)
yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous)
blctin1,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous)
slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous)
chotin1,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous)
vartin1,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous)
thitin1,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous)
rustin1,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous)
bartin2,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous)
smbtin1,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous)
bartin1,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous)
tattin1,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous)
rewtin1,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous)
huatin1,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous)
tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous)
orntin1,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous)
chitin1,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous)
brutin1,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous)
andtin1,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous)
cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous)
whbnot1,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous)
lesnot1,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous)
darnot1,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous)
sponot1,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous)
dwatin1,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous)
elctin1,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous)
quctin1,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous)
puntin1,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous)
pattin1,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous)
soucas1,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu)
dwacas1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu)
norcas1,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu)
emu1,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu)
sobkiw1,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis)
okbkiw1,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis)
nibkiw1,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis)
liskiw1,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis)
grskiw1,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis)
horscr1,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers)
souscr1,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers)
norscr1,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers)
maggoo1,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose)
spwduc1,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lewduc1,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whbduc1,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bahgoo,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
empgoo,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
snogoo,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rosgoo,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gragoo,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
swagoo1,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gwfgoo,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lwfgoo,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
taibeg1,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
tunbeg1,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
pifgoo,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
brant,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bargoo,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cacgoo1,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cangoo,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
hawgoo,Hawaiian Goose,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rebgoo1,Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
freduc1,Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
buwgoo1,Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
mutswa,Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blkswa,Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blnswa2,Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
truswa,Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
tunswa,Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whoswa,Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cosswa1,Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comduc2,Knob-billed Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comduc3,Comb Duck,Sarkidiornis sylvicola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
harduc1,Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
origoo1,Orinoco Goose,Oressochen jubatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
andgoo1,Andean Goose,Oressochen melanopterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
uplgoo1,Upland Goose,Chloephaga picta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
kelgoo1,Kelp Goose,Chloephaga hybrida,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
radshe1,Radjah Shelduck,Radjah radjah,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
egygoo,Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
maushe1,Mauritius Shelduck,Alopochen mauritiana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
reushe1,Reunion Shelduck,Alopochen kervazoi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rudshe,Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
soashe1,South African Shelduck,Tadorna cana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ausshe1,Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
parshe1,Paradise Shelduck,Tadorna variegata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comshe,Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
creshe1,Crested Shelduck,Tadorna cristata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
spwgoo1,Spur-winged Goose,Plectropterus gambensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
flystd1,Flying Steamer-Duck,Tachyeres patachonicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
flistd1,Flightless Steamer-Duck,Tachyeres pteneres,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
falstd1,Falkland Steamer-Duck,Tachyeres brachypterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whhstd1,White-headed Steamer-Duck,Tachyeres leucocephalus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
creduc1,Crested Duck,Lophonetta specularioides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
speduc2,Spectacled Duck,Speculanas specularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
musduc,Muscovy Duck,Cairina moschata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
grnpyg1,Green Pygmy-Goose,Nettapus pulchellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
copgoo1,Cotton Pygmy-Goose,Nettapus coromandelianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
afrpyg1,African Pygmy-Goose,Nettapus auritus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rintea1,Ringed Teal,Callonetta leucophrys,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wooduc,Wood Duck,Aix sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
manduc,Mandarin Duck,Aix galericulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
manduc1,Maned Duck,Chenonetta jubata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
finduc1,Finsch's Duck,Chenonetta finschi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bratea1,Brazilian Teal,Amazonetta brasiliensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bluduc1,Blue Duck,Hymenolaimus malacorhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
torduc1,Torrent Duck,Merganetta armata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
saltea1,Salvadori's Teal,Salvadorina waigiuensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
baitea,Baikal Teal,Sibirionetta formosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gargan,Garganey,Spatula querquedula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
hottea1,Blue-billed Teal,Spatula hottentota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
siltea1,Silver Teal,Spatula versicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
puntea1,Puna Teal,Spatula puna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
buwtea,Blue-winged Teal,Spatula discors,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
cintea,Cinnamon Teal,Spatula cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
redsho1,Red Shoveler,Spatula platalea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
capsho1,Cape Shoveler,Spatula smithii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
aussho1,Australasian Shoveler,Spatula rhynchotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
norsho,Northern Shoveler,Spatula clypeata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gadwal,Gadwall,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
falduc,Falcated Duck,Mareca falcata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
eurwig,Eurasian Wigeon,Mareca penelope,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
amewig,American Wigeon,Mareca americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
chiwig1,Chiloe Wigeon,Mareca sibilatrix,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
amsduc1,Amsterdam Duck,Mareca marecula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
afbduc1,African Black Duck,Anas sparsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
yebduc1,Yellow-billed Duck,Anas undulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
melduc1,Meller's Duck,Anas melleri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
pabduc1,Pacific Black Duck,Anas superciliosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
layduc,Laysan Duck,Anas laysanensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
hawduc,Hawaiian Duck,Anas wyvilliana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
phiduc1,Philippine Duck,Anas luzonica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
spbduc,Eastern Spot-billed Duck,Anas zonorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
mallar3,Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
mexduc,Mexican Duck,Anas diazi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ambduc,American Black Duck,Anas rubripes,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
motduc,Mottled Duck,Anas fulvigula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
captea1,Cape Teal,Anas capensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whcpin,White-cheeked Pintail,Anas bahamensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rebduc1,Red-billed Duck,Anas erythrorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
norpin,Northern Pintail,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
eatpin1,Eaton's Pintail,Anas eatoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
yebpin1,Yellow-billed Pintail,Anas georgica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gnwtea,Green-winged Teal,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
spetea3,Andean Teal,Anas andium,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
yebtea1,Yellow-billed Teal,Anas flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
mauduc1,Mauritius Duck,Anas theodori,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
andtea1,Andaman Teal,Anas albogularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
suntea1,Sunda Teal,Anas gibberifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gretea1,Gray Teal,Anas gracilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
chetea1,Chestnut Teal,Anas castanea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bertea1,Bernier's Teal,Anas bernieri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
auitea1,Auckland Islands Teal,Anas aucklandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
caitea1,Campbell Islands Teal,Anas nesiotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
brotea1,Brown Teal,Anas chlorotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
pieduc1,Pink-eared Duck,Malacorhynchus membranaceus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
martea1,Marbled Duck,Marmaronetta angustirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
pihduc1,Pink-headed Duck,Rhodonessa caryophyllacea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whwduc1,White-winged Duck,Asarcornis scutulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
recpoc,Red-crested Pochard,Netta rufina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
soupoc1,Southern Pochard,Netta erythrophthalma,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
robpoc1,Rosy-billed Pochard,Netta peposaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
canvas,Canvasback,Aythya valisineria,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
redhea,Redhead,Aythya americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
compoc,Common Pochard,Aythya ferina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rinduc,Ring-necked Duck,Aythya collaris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ferduc,Ferruginous Duck,Aythya nyroca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
madpoc1,Madagascar Pochard,Aythya innotata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
baepoc1,Baer's Pochard,Aythya baeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
wheduc1,Hardhead,Aythya australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
tufduc,Tufted Duck,Aythya fuligula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
nezsca1,New Zealand Scaup,Aythya novaeseelandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
gresca,Greater Scaup,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lessca,Lesser Scaup,Aythya affinis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
steeid,Steller's Eider,Polysticta stelleri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
labduc,Labrador Duck,Camptorhynchus labradorius,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
speeid,Spectacled Eider,Somateria fischeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
kineid,King Eider,Somateria spectabilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comeid,Common Eider,Somateria mollissima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
harduc,Harlequin Duck,Histrionicus histrionicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
sursco,Surf Scoter,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whwsco3,Velvet Scoter,Melanitta fusca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whwsco2,White-winged Scoter,Melanitta deglandi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whwsco1,Stejneger's Scoter,Melanitta stejnegeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blksco1,Common Scoter,Melanitta nigra,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blksco2,Black Scoter,Melanitta americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lotduc,Long-tailed Duck,Clangula hyemalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
buffle,Bufflehead,Bucephala albeola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
comgol,Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bargol,Barrow's Goldeneye,Bucephala islandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
smew,Smew,Mergellus albellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
hoomer,Hooded Merganser,Lophodytes cucullatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
auimer1,Auckland Islands Merganser,Mergus australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
commer,Common Merganser,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
bramer1,Brazilian Merganser,Mergus octosetaceus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rebmer,Red-breasted Merganser,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
scsmer1,Scaly-sided Merganser,Mergus squamatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blhduc1,Black-headed Duck,Heteronetta atricapilla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
masduc,Masked Duck,Nomonyx dominicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
rudduc,Ruddy Duck,Oxyura jamaicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
andduc1,Andean Duck,Oxyura ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
whhduc1,White-headed Duck,Oxyura leucocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
macduc1,Maccoa Duck,Oxyura maccoa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
lakduc1,Lake Duck,Oxyura vittata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
blbduc1,Blue-billed Duck,Oxyura australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
musduc1,Musk Duck,Biziura lobata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
ausbrt1,Australian Brushturkey,Alectura lathami,Galliformes,Megapodiidae (Megapodes)
watbrt1,Wattled Brushturkey,Aepypodius arfakianus,Galliformes,Megapodiidae (Megapodes)
brubrt1,Waigeo Brushturkey,Aepypodius bruijnii,Galliformes,Megapodiidae (Megapodes)
rebbrt1,Red-billed Brushturkey,Talegalla cuvieri,Galliformes,Megapodiidae (Megapodes)
bkbbrt1,Yellow-legged Brushturkey,Talegalla fuscirostris,Galliformes,Megapodiidae (Megapodes)
bncbrt1,Red-legged Brushturkey,Talegalla jobiensis,Galliformes,Megapodiidae (Megapodes)
mallee1,Malleefowl,Leipoa ocellata,Galliformes,Megapodiidae (Megapodes)
maleo1,Maleo,Macrocephalon maleo,Galliformes,Megapodiidae (Megapodes)
molscr1,Moluccan Megapode,Eulipoa wallacei,Galliformes,Megapodiidae (Megapodes)
niuscr1,Tongan Megapode,Megapodius pritchardii,Galliformes,Megapodiidae (Megapodes)
micscr1,Micronesian Megapode,Megapodius laperouse,Galliformes,Megapodiidae (Megapodes)
nicscr1,Nicobar Megapode,Megapodius nicobariensis,Galliformes,Megapodiidae (Megapodes)
tabscr1,Philippine Megapode,Megapodius cumingii,Galliformes,Megapodiidae (Megapodes)
sulscr1,Sula Megapode,Megapodius bernsteinii,Galliformes,Megapodiidae (Megapodes)
tanscr1,Tanimbar Megapode,Megapodius tenimberensis,Galliformes,Megapodiidae (Megapodes)
dusscr1,Dusky Megapode,Megapodius freycinet,Galliformes,Megapodiidae (Megapodes)
dusscr3,Biak Megapode,Megapodius geelvinkianus,Galliformes,Megapodiidae (Megapodes)
melscr1,Melanesian Megapode,Megapodius eremita,Galliformes,Megapodiidae (Megapodes)
vanscr1,Vanuatu Megapode,Megapodius layardi,Galliformes,Megapodiidae (Megapodes)
negscr1,New Guinea Megapode,Megapodius decollatus,Galliformes,Megapodiidae (Megapodes)
