eBird.English.Name.2023,eBird.Scientific.Name.2023,eBird.Code,Order,Family
Eurasian Woodcock,Scolopax rusticola,eurwoo,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Solitary Snipe,Gallinago solitaria,solsni1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Wood Snipe,Gallinago nemoricola,woosni1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Great Snipe,Gallinago media,gresni1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Swinhoe's Snipe,Gallinago megala,swisni1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Pin-tailed Snipe,Gallinago stenura,pitsni,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Common Snipe,Gallinago gallinago,comsni,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Red Phalarope,Phalaropus fulicarius,redpha1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Red-necked Phalarope,Phalaropus lobatus,renpha,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Terek Sandpiper,Xenus cinereus,tersan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Common Sandpiper,Actitis hypoleucos,comsan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Green Sandpiper,Tringa ochropus,grnsan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Gray-tailed Tattler,Tringa brevipes,gyttat1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Marsh Sandpiper,Tringa stagnatilis,marsan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Wood Sandpiper,Tringa glareola,woosan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Common Redshank,Tringa totanus,comred1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Nordmann's Greenshank,Tringa guttifer,norgre1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Spotted Redshank,Tringa erythropus,spored,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Common Greenshank,Tringa nebularia,comgre,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Ruddy Turnstone,Arenaria interpres,rudtur,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Great Knot,Calidris tenuirostris,grekno,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Red Knot,Calidris canutus,redkno,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Ruff,Calidris pugnax,ruff,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Broad-billed Sandpiper,Calidris falcinellus,brbsan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Sharp-tailed Sandpiper,Calidris acuminata,shtsan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Curlew Sandpiper,Calidris ferruginea,cursan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Temminck's Stint,Calidris temminckii,temsti,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Long-toed Stint,Calidris subminuta,lotsti,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Red-necked Stint,Calidris ruficollis,rensti,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Spoon-billed Sandpiper,Calidris pygmaea,spbsan1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Buff-breasted Sandpiper,Calidris subruficollis,bubsan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Sanderling,Calidris alba,sander,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Dunlin,Calidris alpina,dunlin,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Little Stint,Calidris minuta,litsti,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Pectoral Sandpiper,Calidris melanotos,pecsan,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Yellow-legged Buttonquail,Turnix tanki,yelbut1,Charadriiformes,Turnicidae (Buttonquail)
Barred Buttonquail,Turnix suscitator,barbut1,Charadriiformes,Turnicidae (Buttonquail)
Small Buttonquail,Turnix sylvaticus,smabut2,Charadriiformes,Turnicidae (Buttonquail)
Crab-Plover,Dromas ardeola,craplo1,Charadriiformes,Dromadidae (Crab-Plover)
Jerdon's Courser,Rhinoptilus bitorquatus,jercou1,Charadriiformes,Glareolidae (Pratincoles and Coursers)
Cream-colored Courser,Cursorius cursor,crccou1,Charadriiformes,Glareolidae (Pratincoles and Coursers)
Indian Courser,Cursorius coromandelicus,indcou1,Charadriiformes,Glareolidae (Pratincoles and Coursers)
Small Pratincole,Glareola lactea,smapra1,Charadriiformes,Glareolidae (Pratincoles and Coursers)
Oriental Pratincole,Glareola maldivarum,oripra,Charadriiformes,Glareolidae (Pratincoles and Coursers)
Collared Pratincole,Glareola pratincola,colpra,Charadriiformes,Glareolidae (Pratincoles and Coursers)
Long-tailed Jaeger,Stercorarius longicaudus,lotjae,Charadriiformes,Stercorariidae (Skuas and Jaegers)
Parasitic Jaeger,Stercorarius parasiticus,parjae,Charadriiformes,Stercorariidae (Skuas and Jaegers)
Pomarine Jaeger,Stercorarius pomarinus,pomjae,Charadriiformes,Stercorariidae (Skuas and Jaegers)
Brown Skua,Stercorarius antarcticus,brnsku3,Charadriiformes,Stercorariidae (Skuas and Jaegers)
South Polar Skua,Stercorarius maccormicki,sopsku1,Charadriiformes,Stercorariidae (Skuas and Jaegers)
Little Gull,Hydrocoloeus minutus,litgul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Black-legged Kittiwake,Rissa tridactyla,bklkit,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Sabine's Gull,Xema sabini,sabgul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Slender-billed Gull,Chroicocephalus genei,slbgul1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Black-headed Gull,Chroicocephalus ridibundus,bkhgul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Brown-headed Gull,Chroicocephalus brunnicephalus,bnhgul1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Laughing Gull,Leucophaeus atricilla,laugul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Franklin's Gull,Leucophaeus pipixcan,fragul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Pallas's Gull,Ichthyaetus ichthyaetus,gbhgul2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Sooty Gull,Ichthyaetus hemprichii,soogul2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
White-eyed Gull,Ichthyaetus leucophthalmus,whegul2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Common Gull,Larus canus,mewgul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Caspian Gull,Larus cachinnans,casgul2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Herring Gull,Larus argentatus,hergul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Lesser Black-backed Gull,Larus fuscus,lbbgul,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Indian Skimmer,Rynchops albicollis,indski1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
White Tern,Gygis alba,whiter,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Brown Noddy,Anous stolidus,brnnod,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Lesser Noddy,Anous tenuirostris,lesnod1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Black Noddy,Anous minutus,blknod,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Sooty Tern,Onychoprion fuscatus,sooter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Bridled Tern,Onychoprion anaethetus,briter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Little Tern,Sternula albifrons,litter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Saunders's Tern,Sternula saundersi,sauter2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Gull-billed Tern,Gelochelidon nilotica,gubter2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Caspian Tern,Hydroprogne caspia,caster1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Whiskered Tern,Chlidonias hybrida,whiter2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Black Tern,Chlidonias niger,blkter,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
White-winged Tern,Chlidonias leucopterus,whwter,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
River Tern,Sterna aurantia,rivter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Arctic Tern,Sterna paradisaea,arcter,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Common Tern,Sterna hirundo,comter,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
White-cheeked Tern,Sterna repressa,whcter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Black-naped Tern,Sterna sumatrana,blnter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Roseate Tern,Sterna dougallii,roster,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Black-bellied Tern,Sterna acuticauda,blbter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Sandwich Tern,Thalasseus sandvicensis,santer1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Lesser Crested Tern,Thalasseus bengalensis,lecter2,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Great Crested Tern,Thalasseus bergii,grcter1,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
White-tailed Tropicbird,Phaethon lepturus,whttro,Phaethontiformes,Phaethontidae (Tropicbirds)
Red-billed Tropicbird,Phaethon aethereus,rebtro,Phaethontiformes,Phaethontidae (Tropicbirds)
Red-tailed Tropicbird,Phaethon rubricauda,rettro,Phaethontiformes,Phaethontidae (Tropicbirds)
Red-throated Loon,Gavia stellata,retloo,Gaviiformes,Gaviidae (Loons)
Arctic Loon,Gavia arctica,arcloo,Gaviiformes,Gaviidae (Loons)
Light-mantled Albatross,Phoebetria palpebrata,limalb1,Procellariiformes,Diomedeidae (Albatrosses)
Wilson's Storm-Petrel,Oceanites oceanicus,wispet,Procellariiformes,Oceanitidae (Southern Storm-Petrels)
White-faced Storm-Petrel,Pelagodroma marina,wfspet,Procellariiformes,Oceanitidae (Southern Storm-Petrels)
Black-bellied Storm-Petrel,Fregetta tropica,bbspet1,Procellariiformes,Oceanitidae (Southern Storm-Petrels)
Swinhoe's Storm-Petrel,Hydrobates monorhis,swspet,Procellariiformes,Hydrobatidae (Northern Storm-Petrels)
Cape Petrel,Daption capense,cappet,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Barau's Petrel,Pterodroma baraui,barpet1,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Jouanin's Petrel,Bulweria fallax,joupet,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Streaked Shearwater,Calonectris leucomelas,strshe,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Cory's Shearwater,Calonectris diomedea,corshe,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Flesh-footed Shearwater,Ardenna carneipes,flfshe,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Wedge-tailed Shearwater,Ardenna pacifica,wetshe,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Sooty Shearwater,Ardenna grisea,sooshe,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Short-tailed Shearwater,Ardenna tenuirostris,shtshe,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Tropical Shearwater,Puffinus bailloni,troshe5,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Persian Shearwater,Puffinus persicus,pershe1,Procellariiformes,Procellariidae (Shearwaters and Petrels)
Asian Openbill,Anastomus oscitans,asiope1,Ciconiiformes,Ciconiidae (Storks)
African Openbill,Anastomus lamelligerus,afrope1,Ciconiiformes,Ciconiidae (Storks)
Black Stork,Ciconia nigra,blasto1,Ciconiiformes,Ciconiidae (Storks)
Asian Woolly-necked Stork,Ciconia episcopus,wonsto1,Ciconiiformes,Ciconiidae (Storks)
White Stork,Ciconia ciconia,whisto1,Ciconiiformes,Ciconiidae (Storks)
Black-necked Stork,Ephippiorhynchus asiaticus,blnsto1,Ciconiiformes,Ciconiidae (Storks)
Lesser Adjutant,Leptoptilos javanicus,lesadj1,Ciconiiformes,Ciconiidae (Storks)
Greater Adjutant,Leptoptilos dubius,greadj1,Ciconiiformes,Ciconiidae (Storks)
Painted Stork,Mycteria leucocephala,paisto1,Ciconiiformes,Ciconiidae (Storks)
Lesser Frigatebird,Fregata ariel,lesfri,Suliformes,Fregatidae (Frigatebirds)
Great Frigatebird,Fregata minor,grefri,Suliformes,Fregatidae (Frigatebirds)
Christmas Island Frigatebird,Fregata andrewsi,chifri1,Suliformes,Fregatidae (Frigatebirds)
Red-footed Booby,Sula sula,refboo,Suliformes,Sulidae (Boobies and Gannets)
Brown Booby,Sula leucogaster,brnboo,Suliformes,Sulidae (Boobies and Gannets)
Masked Booby,Sula dactylatra,masboo,Suliformes,Sulidae (Boobies and Gannets)
Oriental Darter,Anhinga melanogaster,darter2,Suliformes,Anhingidae (Anhingas)
Little Cormorant,Microcarbo niger,litcor1,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Great Cormorant,Phalacrocorax carbo,grecor,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Indian Cormorant,Phalacrocorax fuscicollis,indcor1,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Great White Pelican,Pelecanus onocrotalus,grwpel1,Pelecaniformes,Pelecanidae (Pelicans)
Spot-billed Pelican,Pelecanus philippensis,spbpel1,Pelecaniformes,Pelecanidae (Pelicans)
Dalmatian Pelican,Pelecanus crispus,dalpel1,Pelecaniformes,Pelecanidae (Pelicans)
Great Bittern,Botaurus stellaris,grebit1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Black Bittern,Ixobrychus flavicollis,blabit1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Cinnamon Bittern,Ixobrychus cinnamomeus,cinbit1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Little Bittern,Ixobrychus minutus,litbit1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Yellow Bittern,Ixobrychus sinensis,yelbit,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Black-crowned Night Heron,Nycticorax nycticorax,bcnher,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Malayan Night Heron,Gorsachius melanolophus,manher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Pacific Reef-Heron,Egretta sacra,pacreh1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Chinese Egret,Egretta eulophotes,chiegr,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Little Egret,Egretta garzetta,litegr,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Western Reef-Heron,Egretta gularis,werher,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
White-eared Night Heron,Oroanassa magnifica,wenher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Striated Heron,Butorides striata,strher,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Indian Pond-Heron,Ardeola grayii,inpher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Chinese Pond-Heron,Ardeola bacchus,chpher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Javan Pond-Heron,Ardeola speciosa,japher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Eastern Cattle Egret,Bubulcus coromandus,categr2,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Great Egret,Ardea alba,greegr,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Medium Egret,Ardea intermedia,integr1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Gray Heron,Ardea cinerea,graher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Purple Heron,Ardea purpurea,purher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
White-bellied Heron,Ardea insignis,whbher2,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Goliath Heron,Ardea goliath,golher1,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Glossy Ibis,Plegadis falcinellus,gloibi,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
Black-headed Ibis,Threskiornis melanocephalus,blhibi1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
Red-naped Ibis,Pseudibis papillosa,renibi1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
Eurasian Spoonbill,Platalea leucorodia,eurspo1,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
Osprey,Pandion haliaetus,osprey,Accipitriformes,Pandionidae (Osprey)
Black-winged Kite,Elanus caeruleus,bkskit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Bearded Vulture,Gypaetus barbatus,lammer1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Egyptian Vulture,Neophron percnopterus,egyvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
European Honey-buzzard,Pernis apivorus,euhbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Oriental Honey-buzzard,Pernis ptilorhynchus,orihob2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Jerdon's Baza,Aviceda jerdoni,jerbaz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Black Baza,Aviceda leuphotes,blabaz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Red-headed Vulture,Sarcogyps calvus,rehvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Cinereous Vulture,Aegypius monachus,cinvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
White-rumped Vulture,Gyps bengalensis,whrvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Indian Vulture,Gyps indicus,indvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Slender-billed Vulture,Gyps tenuirostris,slbvul1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Himalayan Griffon,Gyps himalayensis,himgri1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Eurasian Griffon,Gyps fulvus,eurgri1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Nicobar Serpent-Eagle,Spilornis klossi,nicsee1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Crested Serpent-Eagle,Spilornis cheela,crseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Andaman Serpent-Eagle,Spilornis elgini,anseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Short-toed Snake-Eagle,Circaetus gallicus,shteag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Legge's Hawk-Eagle,Nisaetus kelaarti,mouhae2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Mountain Hawk-Eagle,Nisaetus nipalensis,mouhae1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Changeable Hawk-Eagle,Nisaetus cirrhatus,y00839,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Rufous-bellied Eagle,Lophotriorchis kienerii,rubeag2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Black Eagle,Ictinaetus malaiensis,blaeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Indian Spotted Eagle,Clanga hastata,inseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Greater Spotted Eagle,Clanga clanga,grseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Booted Eagle,Hieraaetus pennatus,booeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Tawny Eagle,Aquila rapax,taweag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Steppe Eagle,Aquila nipalensis,steeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Imperial Eagle,Aquila heliaca,impeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Golden Eagle,Aquila chrysaetos,goleag,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Bonelli's Eagle,Aquila fasciata,boneag2,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
White-eyed Buzzard,Butastur teesa,whebuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Rufous-winged Buzzard,Butastur liventer,ruwbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Gray-faced Buzzard,Butastur indicus,gyfbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Western Marsh Harrier,Circus aeruginosus,wemhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Eastern Marsh Harrier,Circus spilonotus,easmah1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Hen Harrier,Circus cyaneus,norhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Pallid Harrier,Circus macrourus,palhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Pied Harrier,Circus melanoleucos,piehar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Montagu's Harrier,Circus pygargus,monhar1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Crested Goshawk,Accipiter trivirgatus,cregos1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Shikra,Accipiter badius,shikra1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Nicobar Sparrowhawk,Accipiter butleri,nicspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Levant Sparrowhawk,Accipiter brevipes,levspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Chinese Sparrowhawk,Accipiter soloensis,grfhaw1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Japanese Sparrowhawk,Accipiter gularis,japspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Besra,Accipiter virgatus,besra1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Eurasian Sparrowhawk,Accipiter nisus,eurspa1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Eurasian Goshawk,Accipiter gentilis,norgos1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Red Kite,Milvus milvus,redkit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Black Kite,Milvus migrans,blakit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Brahminy Kite,Haliastur indus,brakit1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Pallas's Fish-Eagle,Haliaeetus leucoryphus,pafeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
White-tailed Eagle,Haliaeetus albicilla,whteag,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
White-bellied Sea-Eagle,Icthyophaga leucogaster,wbseag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Lesser Fish-Eagle,Icthyophaga humilis,lefeag1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Gray-headed Fish-Eagle,Icthyophaga ichthyaetus,gyhfie1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Rough-legged Hawk,Buteo lagopus,rolhaw,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Common Buzzard,Buteo buteo,combuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Himalayan Buzzard,Buteo refectus,combuz9,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Long-legged Buzzard,Buteo rufinus,lolbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Upland Buzzard,Buteo hemilasius,uplbuz1,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Australasian Grass-Owl,Tyto longimembris,ausgro1,Strigiformes,Tytonidae (Barn-Owls)
Barn Owl,Tyto alba,brnowl,Strigiformes,Tytonidae (Barn-Owls)
Andaman Masked-Owl,Tyto deroepstorffi,barowl5,Strigiformes,Tytonidae (Barn-Owls)
Oriental Bay-Owl,Phodilus badius,orbowl1,Strigiformes,Tytonidae (Barn-Owls)
Sri Lanka Bay-Owl,Phodilus assimilis,srlbao1,Strigiformes,Tytonidae (Barn-Owls)
Andaman Scops-Owl,Otus balli,ansowl1,Strigiformes,Strigidae (Owls)
Mountain Scops-Owl,Otus spilocephalus,mosowl2,Strigiformes,Strigidae (Owls)
Indian Scops-Owl,Otus bakkamoena,insowl1,Strigiformes,Strigidae (Owls)
Collared Scops-Owl,Otus lettia,cosowl1,Strigiformes,Strigidae (Owls)
Nicobar Scops-Owl,Otus alius,nicsco1,Strigiformes,Strigidae (Owls)
Eurasian Scops-Owl,Otus scops,eursco1,Strigiformes,Strigidae (Owls)
Pallid Scops-Owl,Otus brucei,pasowl3,Strigiformes,Strigidae (Owls)
Oriental Scops-Owl,Otus sunia,orsowl,Strigiformes,Strigidae (Owls)
Rock Eagle-Owl,Bubo bengalensis,roeowl1,Strigiformes,Strigidae (Owls)
Eurasian Eagle-Owl,Bubo bubo,eueowl1,Strigiformes,Strigidae (Owls)
Buffy Fish-Owl,Ketupa ketupu,bufowl2,Strigiformes,Strigidae (Owls)
Brown Fish-Owl,Ketupa zeylonensis,brfowl1,Strigiformes,Strigidae (Owls)
Tawny Fish-Owl,Ketupa flavipes,tafowl1,Strigiformes,Strigidae (Owls)
Dusky Eagle-Owl,Ketupa coromanda,dueowl1,Strigiformes,Strigidae (Owls)
Spot-bellied Eagle-Owl,Ketupa nipalensis,sbeowl1,Strigiformes,Strigidae (Owls)
Asian Barred Owlet,Glaucidium cuculoides,asbowl1,Strigiformes,Strigidae (Owls)
Jungle Owlet,Glaucidium radiatum,junowl1,Strigiformes,Strigidae (Owls)
Collared Owlet,Taenioptynx brodiei,colowl1,Strigiformes,Strigidae (Owls)
Spotted Owlet,Athene brama,spoowl1,Strigiformes,Strigidae (Owls)
Little Owl,Athene noctua,litowl1,Strigiformes,Strigidae (Owls)
Forest Owlet,Athene blewitti,forowl1,Strigiformes,Strigidae (Owls)
Mottled Wood-Owl,Strix ocellata,mowowl1,Strigiformes,Strigidae (Owls)
Brown Wood-Owl,Strix leptogrammica,brwowl1,Strigiformes,Strigidae (Owls)
Tawny Owl,Strix aluco,tawowl1,Strigiformes,Strigidae (Owls)
Himalayan Owl,Strix nivicolum,himowl1,Strigiformes,Strigidae (Owls)
Long-eared Owl,Asio otus,loeowl,Strigiformes,Strigidae (Owls)
Short-eared Owl,Asio flammeus,sheowl,Strigiformes,Strigidae (Owls)
Boreal Owl,Aegolius funereus,borowl,Strigiformes,Strigidae (Owls)
Andaman Boobook,Ninox affinis,andhao1,Strigiformes,Strigidae (Owls)
Brown Boobook,Ninox scutulata,brnhao1,Strigiformes,Strigidae (Owls)
Hume's Boobook,Ninox obscura,brnhao3,Strigiformes,Strigidae (Owls)
Malabar Trogon,Harpactes fasciatus,maltro1,Trogoniformes,Trogonidae (Trogons)
Red-headed Trogon,Harpactes erythrocephalus,rehtro1,Trogoniformes,Trogonidae (Trogons)
Ward's Trogon,Harpactes wardi,wartro1,Trogoniformes,Trogonidae (Trogons)
Eurasian Hoopoe,Upupa epops,hoopoe,Bucerotiformes,Upupidae (Hoopoes)
