eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Common Pochard,Common Pochard,Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Common Pochard,Aythya ferina,
Ferruginous Duck,Ferruginous Duck,Low,Uncertain,Strong Increase,Large,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Ferruginous Duck,Aythya nyroca,1000
Baer's Pochard,Baer's Pochard,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Baer's Pochard,Aythya baeri,
Tufted Duck,Tufted Duck,Low,Uncertain,Uncertain,Large,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Tufted Duck,Aythya fuligula,3900
Greater Scaup,Greater Scaup,NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Greater Scaup,Aythya marila,
Long-tailed Duck,Long-tailed Duck,NA,NA,NA,NA,No information,No information,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Long-tailed Duck,Clangula hyemalis,
Common Goldeneye,Common Goldeneye,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Common Goldeneye,Bucephala clangula,
Smew,Smew,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Smew,Mergellus albellus,
Common Merganser,Common Merganser,Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Common Merganser,Mergus merganser,50
Red-breasted Merganser,Red-breasted Merganser,NA,NA,NA,NA,24 hour,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,Red-breasted Merganser,Mergus serrator,
White-headed Duck,White-headed Duck,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,1,NA,White-headed Duck,Oxyura leucocephala,
Nicobar Megapode,Nicobar Megapode,High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Invertebrate,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Megapode,Megapodius nicobariensis,
Hill Partridge,Hill Partridge,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Forest,Resident,NA,NA,NA,Hill Partridge,Arborophila torqueola,
Chestnut-breasted Partridge,Chestnut-breasted Partridge,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,Yes,Eastern Himalayas,Forest,Resident,NA,NA,NA,Chestnut-breasted Partridge,Arborophila mandellii,
Rufous-throated Partridge,Rufous-throated Partridge,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Rufous-throated Partridge,Arborophila rufogularis,
White-cheeked Partridge,White-cheeked Partridge,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident,NA,NA,NA,White-cheeked Partridge,Arborophila atrogularis,
Snow Partridge,Snow Partridge,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Snow Partridge,Lerwa lerwa,
Blood Pheasant,Blood Pheasant,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Blood Pheasant,Ithaginis cruentus,
Western Tragopan,Western Tragopan,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Western Tragopan,Tragopan melanocephalus,
Satyr Tragopan,Satyr Tragopan,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Indian Subcontinent,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Satyr Tragopan,Tragopan satyra,
Blyth's Tragopan,Blyth's Tragopan,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Blyth's Tragopan,Tragopan blythii,
Temminck's Tragopan,Temminck's Tragopan,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Temminck's Tragopan,Tragopan temminckii,
Himalayan Monal,Himalayan Monal,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Monal,Lophophorus impejanus,
Sclater's Monal,Sclater's Monal,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Eastern Himalayas,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Sclater's Monal,Lophophorus sclateri,
Koklass Pheasant,Koklass Pheasant,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Koklass Pheasant,Pucrasia macrolopha,
Tibetan Partridge,Tibetan Partridge,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Partridge,Perdix hodgsoniae,
Hume's Pheasant,Mrs. Hume's Pheasant,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mrs Hume's Pheasant,Syrmaticus humiae,
Cheer Pheasant,Cheer Pheasant,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Forest,Resident,NA,NA,NA,Cheer Pheasant,Catreus wallichii,
Kalij Pheasant,Kalij Pheasant,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Kalij Pheasant,Lophura leucomelanos,
Indian Peafowl,Indian Peafowl,Low,Strong Increase,Moderate Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Indian Peafowl,Pavo cristatus,
Green Peafowl,Green Peafowl,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Uncertain,NA,1,NA,Green Peafowl,Pavo muticus,
Red Spurfowl,Red Spurfowl,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,Red Spurfowl,Galloperdix spadicea,
Painted Spurfowl,Painted Spurfowl,Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest & Plantation,Resident,NA,NA,NA,Painted Spurfowl,Galloperdix lunulata,
